,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,0.42295659905949795,,Intercept,457.6782479918697,458.0,0.3217520081303178,458.0
1,1,grade:A,2.155770479614867,0.0,grade,151.68033968620435,152.0,0.3196603137956515,152.0
2,2,grade:B,1.6218319279388624,0.0,grade,114.11234176824186,114.0,-0.11234176824186193,114.0
3,3,grade:C,1.2545702308725104,0.0,grade,88.27175275771407,88.0,-0.2717527577140686,88.0
4,4,grade:D,0.8296290209191555,8.586923548082948e-251,grade,58.37282442471888,58.0,-0.37282442471887833,58.0
5,5,grade:E,0.4362716100343167,6.515237654759494e-82,grade,30.696137010501477,31.0,0.30386298949852275,31.0
6,6,grade:F,0.11653734716338757,1.277621460048331e-06,grade,8.199585517577772,8.0,-0.19958551757777165,8.0
7,7,home_ownership:OWN,0.11365744763987262,1.5270433341264115e-45,home_ownership,7.996955347937948,8.0,0.0030446520620524,8.0
8,8,home_ownership:MORTGAGE,0.2430262736859754,0.0,home_ownership,17.09936567641781,17.0,-0.09936567641781124,17.0
9,9,addr_state:NM_VA,0.051558406131847895,0.0003773113520931933,addr_state,3.627657317747064,4.0,0.3723426822529361,4.0
10,10,addr_state:NY,-0.0023184508485466684,0.8258265565306293,addr_state,-0.16312655525190825,-0.0,0.16312655525190825,-0.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.011759618447580103,0.23467241874020572,addr_state,0.8274085472344753,1.0,0.17259145276552468,1.0
12,12,addr_state:CA,0.0491795300832694,1.556341328802748e-07,addr_state,3.4602792362064796,3.0,-0.4602792362064796,3.0
13,13,addr_state:UT_KY_AZ_NJ,0.06291690669547376,7.717816398477441e-09,addr_state,4.426843149498739,4.0,-0.4268431494987386,4.0
14,14,addr_state:AR_MI_PA_OH_MN,0.0913978947392333,3.156747716706506e-21,addr_state,6.430769811416826,6.0,-0.4307698114168259,6.0
15,15,addr_state:RI_MA_DE_SD_IN,0.08933206091927062,2.1535006462150695e-12,addr_state,6.2854174288184845,6.0,-0.28541742881848453,6.0
16,16,addr_state:GA_WA_OR,0.30291347152939974,8.489886443892734e-141,addr_state,21.313038049076123,21.0,-0.3130380490761233,21.0
17,17,addr_state:WI_MT,0.21555818795748158,4.863861708779457e-26,addr_state,15.166706975862612,15.0,-0.16670697586261163,15.0
18,18,addr_state:TX,0.0717338486763296,2.5720891706631168e-11,addr_state,5.047204531796122,5.0,-0.04720453179612161,5.0
19,19,addr_state:IL_CT,0.2621092409795314,5.07178573808151e-96,addr_state,18.442046165216606,18.0,-0.4420461652166061,18.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.2876049362038382,2.239561558432888e-109,addr_state,20.235927169120913,20.0,-0.23592716912091305,20.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.4235677600547674,1.3288537487636377e-84,addr_state,29.80229218868869,30.0,0.19770781131131088,30.0
22,22,verification_status:Not Verified,0.24965117418635396,0.0,verification_status,17.565494685877226,18.0,0.4345053141227737,18.0
23,23,verification_status:Source Verified,0.0583094756159051,1.6264578756168567e-25,verification_status,4.102663596138029,4.0,-0.10266359613802933,4.0
24,24,purpose:credit_card,0.1218661923676186,5.336548161532359e-17,purpose,8.574523878760528,9.0,0.42547612123947154,9.0
25,25,purpose:debt_consolidation,0.091718102334282,2.5063263298410106e-11,purpose,6.453299666633956,6.0,-0.4532996666339564,6.0
26,26,purpose:oth__med__vacation,0.18038408100655687,7.77864243285517e-31,purpose,12.691851446980756,13.0,0.3081485530192438,13.0
27,27,purpose:major_purch__car__home_impr,0.11592220311914313,8.86600693355612e-14,purpose,8.156303888819401,8.0,-0.1563038888194015,8.0
28,28,initial_list_status:w,0.10038791692362153,5.253891235949713e-78,initial_list_status,7.063309143228314,7.0,-0.06330914322831394,7.0
29,29,term:36,0.19091465688402748,7.830747090966303e-236,term,13.4327843715616,13.0,-0.4327843715616009,13.0
30,30,emp_length:1,0.07705364048867007,1.6232101479992882e-12,emp_length,5.421505894944877,5.0,-0.4215058949448771,5.0
31,31,emp_length:2-4,0.11158012073185174,1.5567316847752443e-45,emp_length,7.850794309911213,8.0,0.14920569008878726,8.0
32,32,emp_length:5-6,0.10832868272382493,2.8747968302673684e-30,emp_length,7.622022635844014,8.0,0.3779773641559858,8.0
33,33,emp_length:7-9,0.07619925914488952,6.771439990564369e-17,emp_length,5.361391493309068,5.0,-0.3613914933090676,5.0
34,34,emp_length:10,0.15478327774320677,7.578804324702664e-93,emp_length,10.890575025421091,11.0,0.10942497457890887,11.0
35,35,mths_since_issue_d:<38,-1.5074513402410603,0.0,mths_since_issue_d,-106.064506175554,-106.0,0.06450617555400129,-106.0
36,36,mths_since_issue_d:38-39,-1.6343076439928033,0.0,mths_since_issue_d,-114.99013505225994,-115.0,-0.00986494774005564,-115.0
37,37,mths_since_issue_d:40-41,-1.5271742958378687,0.0,mths_since_issue_d,-107.45221633896354,-107.0,0.4522163389635381,-107.0
38,38,mths_since_issue_d:42-48,-1.4953110692427345,0.0,mths_since_issue_d,-105.21031485680209,-105.0,0.21031485680208561,-105.0
